date,unit_sales,day_of_week,day_number,month,year,is_weekend,rolling_7d,zscore,is_outlier
2013-01-02,582.0,Wednesday,2,1,2013,False,,0.6005415584511177,False
2013-01-03,310.0,Thursday,3,1,2013,False,,-0.9697397630389538,False
2013-01-04,338.0,Friday,4,1,2013,False,,-0.8080931564149758,False
2013-01-05,654.0,Saturday,5,1,2013,True,,1.0162042611984896,False
2013-01-06,979.0,Sunday,6,1,2013,True,,2.8924595166553764,False
2013-01-07,541.0,Monday,0,1,2013,False,,0.36384474160886426,False
2013-01-08,434.0,Tuesday,1,1,2013,False,548.2857142857143,-0.25387621941848004,False
2013-01-09,593.0,Wednesday,2,1,2013,False,549.8571428571429,0.6640455824819661,False
2013-01-10,700.0,Thursday,3,1,2013,False,605.5714285714286,1.2817665435093104,False
2013-01-11,726.0,Friday,4,1,2013,False,661.0,1.4318669639458614,False
2013-01-12,631.0,Saturday,5,1,2013,True,657.7142857142857,0.8834231200430791,False
2013-01-13,679.0,Sunday,6,1,2013,True,614.8571428571429,1.160531588541327,False
2013-01-14,683.0,Monday,0,1,2013,False,635.1428571428571,1.183623960916181,False
2013-01-15,547.0,Tuesday,1,1,2013,False,651.2857142857143,0.39848330017114525,False
2013-01-16,265.0,Wednesday,2,1,2013,False,604.4285714285714,-1.2295289522560613,False
2013-01-17,4.0,Thursday,3,1,2013,False,505.0,-2.7363062497152844,False
2013-01-18,60.0,Friday,4,1,2013,False,409.85714285714283,-2.413013036467328,False
2013-01-19,667.0,Saturday,5,1,2013,True,415.0,1.091254471416765,False
2013-01-20,1090.0,Sunday,6,1,2013,True,473.7142857142857,3.533272850057575,True
2013-01-21,760.0,Monday,0,1,2013,False,484.7142857142857,1.6281521291321204,False
2013-01-22,461.0,Tuesday,1,1,2013,False,472.42857142857144,-0.09800270588821558,False
2013-01-23,413.0,Wednesday,2,1,2013,False,493.57142857142856,-0.37511117438646346,False
2013-01-24,326.0,Thursday,3,1,2013,False,539.5714285714286,-0.8773702735395378,False
2013-01-25,389.0,Friday,4,1,2013,False,586.5714285714286,-0.5136654086355874,False
2013-01-26,697.0,Saturday,5,1,2013,True,590.8571428571429,1.2644472642281699,False
2013-01-27,616.0,Sunday,6,1,2013,True,523.1428571428571,0.7968267236373766,False
2013-01-28,318.0,Monday,0,1,2013,False,460.0,-0.9235550182892458,False
2013-01-29,393.0,Tuesday,1,1,2013,False,450.2857142857143,-0.49057303626073345,False
2013-01-30,487.0,Wednesday,2,1,2013,False,460.85714285714283,0.05209771454833536,False
2013-01-31,282.0,Thursday,3,1,2013,False,454.57142857142856,-1.1313863696629318,False
2013-02-01,401.0,Friday,4,2,2013,False,456.2857142857143,-0.4443882915110255,False
2013-02-02,775.0,Saturday,5,2,2013,True,467.42857142857144,1.7147485255378228,False
2013-02-03,855.0,Sunday,6,2,2013,True,501.57142857142856,2.1765959730349027,False
2013-02-04,411.0,Monday,0,2,2013,False,514.8571428571429,-0.3866573605738905,False
2013-02-05,272.0,Tuesday,1,2,2013,False,497.57142857142856,-1.1891173006000666,False
2013-02-06,461.0,Wednesday,2,2,2013,False,493.85714285714283,-0.09800270588821558,False
2013-02-07,397.0,Thursday,3,2,2013,False,510.2857142857143,-0.46748066388587944,False
2013-02-08,226.0,Friday,4,2,2013,False,485.2857142857143,-1.4546795829108876,False
2013-02-09,377.0,Saturday,5,2,2013,True,428.42857142857144,-0.5829425257601494,False
2013-02-10,356.0,Sunday,6,2,2013,True,357.14285714285717,-0.7041774807281329,False
2013-02-11,407.0,Monday,0,2,2013,False,356.57142857142856,-0.40974973294874445,False
2013-02-12,469.0,Tuesday,1,2,2013,False,384.7142857142857,-0.051817961138507604,False
2013-02-13,277.0,Wednesday,2,2,2013,False,358.42857142857144,-1.1602518351314992,False
2013-02-14,280.0,Thursday,3,2,2013,False,341.7142857142857,-1.1429325558503587,False
2013-02-15,304.0,Friday,4,2,2013,False,352.85714285714283,-1.0043783216012347,False
2013-02-16,576.0,Saturday,5,2,2013,True,381.2857142857143,0.5659029998888366,False
2013-02-17,395.0,Sunday,6,2,2013,True,386.85714285714283,-0.4790268500733065,False
2013-02-18,417.0,Monday,0,2,2013,False,388.2857142857143,-0.3520188020116095,False
2013-02-19,244.0,Tuesday,1,2,2013,False,356.14285714285717,-1.3507639072240447,False
2013-02-20,339.0,Wednesday,2,2,2013,False,365.0,-0.8023200633212624,False
2013-02-21,457.0,Thursday,3,2,2013,False,390.2857142857143,-0.12109507826306957,False
2013-02-22,186.0,Friday,4,2,2013,False,373.42857142857144,-1.6856033066594276,False
2013-02-23,497.0,Saturday,5,2,2013,True,362.14285714285717,0.10982864548547035,False
2013-02-24,509.0,Sunday,6,2,2013,True,378.42857142857144,0.1791057626100323,False
2013-02-25,441.0,Monday,0,2,2013,False,381.85714285714283,-0.21346456776248554,False
2013-02-26,550.0,Tuesday,1,2,2013,False,425.57142857142856,0.4158025794522857,False
2013-02-27,388.0,Wednesday,2,2,2013,False,432.57142857142856,-0.519438501729301,False
