date,unit_sales,day_of_week,day_number,month,year,is_weekend,rolling_7d,zscore,is_outlier,dcoilwtico,is_national_holiday,is_regional_holiday,is_local_holiday,is_holiday,day,quarter,week_of_year,is_month_start,is_month_end,lag_1,lag_7,lag_14,lag_30,rolling_7d_mean,rolling_14d_mean,rolling_30d_mean,rolling_7d_std,oil_lag_1,oil_lag_7,oil_rolling_7d_mean
2013-02-01,401.0,Friday,4,2,2013,0,456.2857142857143,-0.4443882915110255,False,97.46,0,0,0,0,1,1,5,1,0,282.0,389.0,60.0,582.0,454.57142857142856,497.07142857142856,520.8333333333334,154.05935776279742,97.65,95.15,96.37857142857145
2013-02-02,775.0,Saturday,5,2,2013,1,467.4285714285714,1.7147485255378228,False,97.46,0,0,0,0,2,1,5,0,0,401.0,697.0,667.0,310.0,456.2857142857143,521.4285714285714,514.8,153.2728659240484,97.46,95.15,96.70857142857142
2013-02-03,855.0,Sunday,6,2,2013,1,501.57142857142856,2.1765959730349027,False,97.46,0,0,0,0,3,1,5,0,0,775.0,616.0,1090.0,338.0,467.42857142857144,529.1428571428571,530.3,174.98653009384927,97.46,95.15,97.03857142857143
2013-02-04,411.0,Monday,0,2,2013,0,514.8571428571429,-0.3866573605738905,False,96.21,0,0,0,0,4,1,6,0,0,855.0,318.0,760.0,654.0,501.57142857142856,512.3571428571429,547.5333333333333,224.9813748904984,97.46,95.95,97.36857142857143
2013-02-05,272.0,Tuesday,1,2,2013,0,497.57142857142856,-1.1891173006000666,False,96.68,0,0,0,0,5,1,6,0,0,411.0,393.0,461.0,979.0,514.8571428571429,487.42857142857144,539.4333333333333,214.85221942180658,96.21,97.62,97.40571428571427
2013-02-06,461.0,Wednesday,2,2,2013,0,493.8571428571428,-0.0980027058882155,False,96.44,0,0,0,0,6,1,6,0,0,272.0,487.0,413.0,541.0,497.57142857142856,473.92857142857144,515.8666666666667,230.58176940285696,96.68,97.98,97.27142857142857
2013-02-07,397.0,Thursday,3,2,2013,0,510.2857142857143,-0.4674806638858794,False,95.84,0,0,0,0,7,1,6,0,0,461.0,282.0,326.0,434.0,493.85714285714283,477.35714285714283,513.2,230.98948646452024,96.44,97.65,97.05142857142857
2013-02-08,226.0,Friday,4,2,2013,0,485.2857142857143,-1.4546795829108876,False,95.71,0,0,0,0,8,1,6,0,0,397.0,401.0,389.0,593.0,510.2857142857143,482.42857142857144,511.96666666666664,217.0811785835843,95.84,97.46,96.79285714285713
2013-02-09,377.0,Saturday,5,2,2013,1,428.4285714285714,-0.5829425257601494,False,95.71,0,0,0,0,9,1,6,0,0,226.0,775.0,697.0,700.0,485.2857142857143,470.7857142857143,499.73333333333335,240.5706509432063,95.71,97.46,96.54285714285716
2013-02-10,356.0,Sunday,6,2,2013,1,357.1428571428572,-0.7041774807281329,False,95.71,0,0,0,0,10,1,6,0,0,377.0,855.0,616.0,726.0,428.42857142857144,447.92857142857144,488.96666666666664,205.10473515000143,95.71,97.46,96.29285714285713
2013-02-11,407.0,Monday,0,2,2013,0,356.57142857142856,-0.4097497329487444,False,97.01,1,0,0,1,11,1,7,0,0,356.0,411.0,318.0,631.0,357.14285714285717,429.35714285714283,476.6333333333333,81.77087617529837,95.71,96.21,96.04285714285713
2013-02-12,469.0,Tuesday,1,2,2013,0,384.7142857142857,-0.0518179611385076,False,97.48,1,0,0,1,12,1,7,0,0,407.0,272.0,393.0,679.0,356.57142857142856,435.7142857142857,469.1666666666667,81.34465182759202,97.01,96.68,96.15714285714286
2013-02-13,277.0,Wednesday,2,2,2013,0,358.42857142857144,-1.1602518351314992,False,97.03,0,0,0,0,13,1,7,0,0,469.0,461.0,487.0,683.0,384.7142857142857,441.14285714285717,462.1666666666667,81.2869696111944,97.48,96.44,96.27142857142857
2013-02-14,280.0,Thursday,3,2,2013,0,341.7142857142857,-1.1429325558503587,False,97.3,0,0,0,0,14,1,7,0,0,277.0,397.0,282.0,547.0,358.42857142857144,426.14285714285717,448.6333333333333,82.25135691455493,97.03,95.84,96.35571428571428
2013-02-15,304.0,Friday,4,2,2013,0,352.85714285714283,-1.0043783216012347,False,95.95,0,0,0,0,15,1,7,0,0,280.0,226.0,401.0,265.0,341.7142857142857,426.0,439.73333333333335,84.95040569986233,97.3,95.71,96.56428571428572
2013-02-16,576.0,Saturday,5,2,2013,1,381.2857142857143,0.5659029998888366,False,95.95,0,0,0,0,16,1,7,0,0,304.0,377.0,775.0,4.0,352.85714285714283,419.07142857142856,441.03333333333336,71.25407256531125,95.95,95.71,96.59857142857142
